DATE_KEY,Year,Quarter,Month,Day,Sum of DAY,Sum of MONTH,MONTH_NAME,Sum of QUARTER,Sum of YEAR,DAY_NAME
98010f4b6ef5a04106992af082c7d0fa,2011,Qtr 2,May,2,2,5,Mayth,2,2011,Day
9818ca9856d3cf7b357612ed1c1f59a2,2012,Qtr 2,May,26,26,5,Mayth,2,2012,Day
982b3b4109cce5d4e5bf1fcbe0ae259b,2014,Qtr 1,January,13,13,1,Janth,1,2014,Day
98c729ba235458f3bd79313db6be8db6,2011,Qtr 1,March,4,4,3,Marth,1,2011,Day
9913e55755fcc4267a06c1e6adbbc7fb,2013,Qtr 3,July,22,22,7,Julth,3,2013,Day
99b7e934795a93975a5e0c0b9b57d9ba,2013,Qtr 3,August,20,20,8,Augth,3,2013,Day
99c8f306659fd98cbb9d7f03ec0c2a7a,2013,Qtr 4,November,14,14,11,Novth,4,2013,Day
99ceae0afd3bddfab39f9341c7fd7a90,2012,Qtr 3,July,18,18,7,Julth,3,2012,Day
9a027fc72b503940a96d5137762a263e,2014,Qtr 1,January,28,28,1,Janth,1,2014,Day
9a565a7d2e70265a68ce424b97f03cfe,2012,Qtr 1,March,16,16,3,Marth,1,2012,Day
9a95fdf4e925d9cbd65f87b5aa4ac212,2013,Qtr 2,June,18,18,6,Junth,2,2013,Day
9aa1878029541c8ed2422b8b536e6b87,2012,Qtr 2,April,22,22,4,Aprth,2,2012,Day
9adbaac8d97fd446c4d97ce11625bd78,2012,Qtr 1,March,9,9,3,Marth,1,2012,Day
9af1e473046ebbc43d1ad2aa50b49777,2012,Qtr 4,November,30,30,11,Novth,4,2012,Day
9b2bcc77e799374ba0ba55212a17c6b3,2012,Qtr 2,May,11,11,5,Mayth,2,2012,Day
9b388942f77042c20d2cf762e3bde6f6,2011,Qtr 3,July,20,20,7,Julth,3,2011,Day
9b657dcbee0478c7d9be871266f00f1f,2012,Qtr 1,February,19,19,2,Febth,1,2012,Day
9b6872ca1d80024637e967d1066bba0a,2013,Qtr 2,April,11,11,4,Aprth,2,2013,Day
9b98d27287b27eeee9ebc06e1d5a9a8d,2013,Qtr 1,March,5,5,3,Marth,1,2013,Day
9bbc713be22755b8ea8e3b596e06edd2,2013,Qtr 1,January,16,16,1,Janth,1,2013,Day
9bf4969b0d30a237d93ba8c97a302ad0,2011,Qtr 3,September,23,23,9,Septh,3,2011,Day
9c09e1a3bb33cc56909b944a08096b34,2011,Qtr 1,March,13,13,3,Marth,1,2011,Day
9c1231676f7d0735ca17dcc3b53881c6,2011,Qtr 4,November,30,30,11,Novth,4,2011,Day
9c36ef758665a17e1eeb69b7f8fce1c6,2012,Qtr 4,October,5,5,10,Octth,4,2012,Day
9c55d6518880c1abf100a24da2546368,2014,Qtr 1,January,9,9,1,Janth,1,2014,Day
9c56075241a26f6fa77eb86b15411c6e,2013,Qtr 1,March,26,26,3,Marth,1,2013,Day
9cdb18f37bdd2084cec3f36c200212be,2013,Qtr 1,January,2,2,1,Janth,1,2013,Day
9cdb9e90f63b56acfa81a93f08237e59,2011,Qtr 2,May,9,9,5,Mayth,2,2011,Day
9d0c5a1a95274b55fd3f6fd19fd273ae,2011,Qtr 2,April,18,18,4,Aprth,2,2011,Day
9d2399b04a78a683bb013aa08df31452,2011,Qtr 1,March,17,17,3,Marth,1,2011,Day
9d934f91c460e9947414d00048f2fa36,2013,Qtr 3,September,9,9,9,Septh,3,2013,Day
9e0019d185356a96e0ac5b8096eef572,2011,Qtr 2,May,7,7,5,Mayth,2,2011,Day
9e1ca98ed14275c163df7ca9189e23a7,2011,Qtr 3,August,24,24,8,Augth,3,2011,Day
9e8cbc3edbb5efb3f48d6afb260e4725,2013,Qtr 2,June,13,13,6,Junth,2,2013,Day
9ee2a0f409662e4664217b7e3b808428,2012,Qtr 4,October,14,14,10,Octth,4,2012,Day
9effb9136439084df69d3197f50eb040,2011,Qtr 1,January,26,26,1,Janth,1,2011,Day
9f14679403a464909296961b7547fa87,2013,Qtr 1,January,4,4,1,Janth,1,2013,Day
9f1ff00ea8fd9fd8f2d421ba5ec45a18,2013,Qtr 4,October,12,12,10,Octth,4,2013,Day
9f3fe36539fdc61fea0c91c4694fd369,2011,Qtr 1,January,7,7,1,Janth,1,2011,Day
9f79f7706bc6a7654ef0b8977966f69a,2013,Qtr 1,February,14,14,2,Febth,1,2013,Day
9f8987003453fd37ae135a87e6b756b8,2011,Qtr 2,April,11,11,4,Aprth,2,2011,Day
9fa48dc8d46636bab53020640f0d42b9,2011,Qtr 1,March,6,6,3,Marth,1,2011,Day
a048b8d5f3f9178f163e2be055f0138b,2013,Qtr 4,December,25,25,12,Decth,4,2013,Day
a08a8a7cdc12ac1d6f6ca90a6b513d94,2012,Qtr 2,June,3,3,6,Junth,2,2012,Day
a09d09970403327b4ca7bf98052cd060,2011,Qtr 3,July,6,6,7,Julth,3,2011,Day
a0ab7eafc534bc4a8a48cd6e1cfc4d24,2012,Qtr 4,December,21,21,12,Decth,4,2012,Day
a189cc17a15cdb4e39e80dfcd8374c76,2013,Qtr 2,June,7,7,6,Junth,2,2013,Day
a1b2320235143a40a1ff4226b58f48d0,2012,Qtr 2,May,7,7,5,Mayth,2,2012,Day
a1be4f014e5b3c959503117fd1ee566a,2012,Qtr 2,June,17,17,6,Junth,2,2012,Day
a1d0c0a14c6c8f8a8ef8220209c23a64,2013,Qtr 4,October,6,6,10,Octth,4,2013,Day
a1e59736d286765313b8212467dc64b2,2014,Qtr 1,January,12,12,1,Janth,1,2014,Day
a1fedb8f5f2e08543339a5f167bee6b7,2013,Qtr 3,September,7,7,9,Septh,3,2013,Day
a23d0c239f0a09c5342f707e8417c1ec,2011,Qtr 4,October,15,15,10,Octth,4,2011,Day
a27fb9d8ace734e3b4395ec342ddb35c,2011,Qtr 4,December,1,1,12,Decth,4,2011,Day
a2c49941411089cb2a9cbf78cb803c26,2013,Qtr 2,April,25,25,4,Aprth,2,2013,Day
a37b3b8ed0bad1707ba2be514cc71f02,2012,Qtr 4,November,3,3,11,Novth,4,2012,Day
a3e65268044e3e2a027f7c5bd50d1a88,2011,Qtr 4,October,25,25,10,Octth,4,2011,Day
a426a338561351b3011d85cfc86bf781,2012,Qtr 3,July,19,19,7,Julth,3,2012,Day
a6d37e298c3042e300813f55a17e0875,2013,Qtr 3,September,1,1,9,Septh,3,2013,Day
a6f2945baeceeef4c8d541a22f6e99e9,2013,Qtr 4,December,19,19,12,Decth,4,2013,Day
a74d75778ebcaa9a01805f980ea906db,2012,Qtr 1,January,31,31,1,Janth,1,2012,Day
a7a38fdd2b588a9e04c8833fe252e250,2011,Qtr 1,March,27,27,3,Marth,1,2011,Day
a7b6562d6af25035e375b23034715469,2011,Qtr 3,September,29,29,9,Septh,3,2011,Day
a7cb0a760406e2013c8442a429fed0ae,2013,Qtr 1,January,27,27,1,Janth,1,2013,Day
a7e2e75e7fa681dcfa6bb6bfc7fc5cff,2011,Qtr 4,December,2,2,12,Decth,4,2011,Day
a81896693628eb9ebcc919d85e627b8f,2011,Qtr 1,January,3,3,1,Janth,1,2011,Day
a8a3dbb4e486b164bdd7b0d4a21bdeac,2011,Qtr 2,June,7,7,6,Junth,2,2011,Day
a8c7d5b3aff3fa32b632b239bd18e26f,2011,Qtr 4,October,3,3,10,Octth,4,2011,Day
a8ef76a01442567fb64eb6f4408a9835,2013,Qtr 2,May,9,9,5,Mayth,2,2013,Day
a935c7a44f4c417071513541e30d7c95,2011,Qtr 2,June,27,27,6,Junth,2,2011,Day
a946e75bc65318721cd1e01162d392dd,2013,Qtr 3,August,14,14,8,Augth,3,2013,Day
a976f17830aceaaa93d5daef0bc209a3,2013,Qtr 2,May,17,17,5,Mayth,2,2013,Day
a9adf65abbb865184bf924d14a93d0c4,2013,Qtr 4,November,25,25,11,Novth,4,2013,Day
a9badca0a12d937b4dcb70fd1c65dc63,2012,Qtr 1,February,22,22,2,Febth,1,2012,Day
